Player,idle,run
Alex   Mitchell   [9a],2,1
Andrew Porter [1b],2,1
Ben   Curry   [7a],2,1
Ben   Earl   [8a],2,1
Bundee Aki [12b],2,2
Cadan   Murley   [11a],2,1
Dan Sheehan [2b],2,1
Ellis  Genge [1a],2,1
Freddie   Steward   [15a],2,1
Gary  Ringrose [13b],2,2
George   Martin   [5a],2,1
Henry   Slade   [12a],2,1
Hugo Keenan [15b],3,2
Jack  Conan [8b],2,1
Jack  Crowley [10b],2,2
James  Lowe [11b],2,2
James  Ryan [5b],2,1
Jamie George [2a],2,1
Jamison Gibson-Park [9b],3,2
Josh  Van der Flier  [7b],2,1
Mack Hansen [14b],2,2
Marcus   Smith   [10a],2,1
Maro   Itoje   [4a],2,1
Ollie   Lawrence   [13a],2,1
Ryan Baird [6b],2,1
Tadgh  Beirne [4b],2,1
Tadgh  Furlong [3b],2,1
Tom   Curry   [6a],2,1
Tommy   Freeman   [14a],2,1
Will   Stuart   [3a],2,1
